stage_name,full_name,date_of_birth,group,country,birthplace,gender,instagram
Jisoo,Kim Jisoo,1995-01-03,BLACKPINK,South Korea,Seoul,F,
Jisoo,Seo Jisoo,1994-02-11,Lovelyz,South Korea,Incheon,F,
Jisoo,Shin Jisoo,1994-02-28,Tahiti,South Korea,Chuncheon,F,
Kibum,Kim Kibum,1987-08-21,,South Korea,Seoul,M,
Seoryoung,Lee Seoryung,2000-01-26,GWSN,South Korea,,F,
Hongseok,Yang Hongseok,1994-04-17,PENTAGON,South Korea,,M,
Heedo,Yoon Heedo,1996-04-22,B.I.G,South Korea,Seoul,M,
Luhan,Lu Han,1990-04-20,,China,Haidian,M,
Raina,Oh Hyerin,1989-05-07,After School,South Korea,Ulsan,F,raina_57
Sunoo,Kim Sunwoo,2003-06-24,ENHYPEN,South Korea,,M,
Ahyoung,Cho Jayoung,1991-05-26,Dal Shabet,South Korea,Seoul,F,
Youngwoong,Cho Youngwoon,1999-05-01,14U,South Korea,,M,
Bomi,Yoon Bomi,1993-08-13,Apink,South Korea,Suwon,F,
Choerry,Choi Yerim,2001-06-04,LOONA,South Korea,,F,
Jungwon,Yang Jungwon,2004-02-09,ENHYPEN,South Korea,,M,
Kei,Kim Jiyeon,1995-03-20,Lovelyz,South Korea,Incheon,F,
Nana,Im Jinah,1991-09-14,After School,South Korea,Cheongju,F,jin_a_nana
Nana,Kwon Nayeon,2001-03-09,woo!ah!,South Korea,,F,
Ayden,Kwon Yejun,2005-01-24,EPEX,South Korea,,M,
Heechan,Yang Heechan,1999-07-31,DKB,South Korea,,M,
Nicole,Nicole Jung,1991-10-07,,South Korea,Los Angeles,F,
G.O,Jung Byunghee,1987-11-06,MBLAQ,South Korea,Changwon,M,
Alex,Alexander Schmidt Lee,2004-10-06,DRIPPIN,Germany,,M,
Jinwoo,Lee Jinwoo,2004-09-13,Ghost9,South Korea,,M,
Juhaknyeon,Ju Haknyeon,1999-03-09,The Boyz,South Korea,Jeju,M,
Boa,Kim Boah,1987-01-14,KEEMBO,South Korea,,F,
Kazuha,Nakamura Kazuha,2003-08-09,LE SSERAFIM,Japan,Osaka,F,
Hyeri,Lee Hyeri,1994-06-09,Girl's Day,South Korea,Gwangju,F,hyeri_0609
Jungshin,Lee Jungshin,1991-09-15,CNBLUE,South Korea,,M,
Marin,Yasufuku Marin,2001-03-17,Bling Bling,Japan,Osaka,F,
Rainie,Chu Chingyu,2000-11-16,bugAboo,Taiwan,,F,
Kangsung,Lee Kangsung,2002-08-08,Ghost9,South Korea,,M,
Ria,Kuwayama Ria,1998-02-03,BOTOPASS,Japan,,F,
B-Joo,Kim Byungjoo,1994-01-08,Topp Dogg,South Korea,Seoul,M,
Naeun,Lee Naeun,1999-05-05,APRIL,South Korea,Daejeon,F,
Naeun,Son Naeun,1994-02-10,,South Korea,Seoul,F,marcella_the_naeun
Wonpil,Kim Wonpil,1994-04-28,DAY6,South Korea,,M,
Yongha,Yoo Yongha,1999-01-11,WEi,South Korea,,M,
Seungah,Oh Seungah,1988-09-13,Rainbow,South Korea,Seoul,F,
Minhee,Joo Minhee,1993-01-03,Stellar,South Korea,Seoul,F,
Minhee,Kang Minhee,2002-09-17,CRAVITY,South Korea,,M,
Ahyoon,Choi Subin,2004-10-23,BOTOPASS,South Korea,,F,
Xion,Son Dongju,2000-01-10,Oneus,South Korea,,M,
Seungeun,Shim Seungeun,2000-12-27,BVNDIT,South Korea,,F,
Shin,Kim Suhyun,2000-03-18,Ghost9,South Korea,,M,
Shin,Shin Wonho,1991-10-23,CROSS GENE,South Korea,Seoul,M,
Heechul,Jung Heechul,1989-12-09,ZE:A,South Korea,Jeju,M,
Heechul,Kim Heechul,1983-07-10,Super Junior,South Korea,Hoengseong,M,
Hyunsuk,Choi Hyunsuk,1999-04-21,Treasure,South Korea,Daegu,M,
Hyunsuk,Yoon Hyunsuk,2001-09-08,CIX,South Korea,,M,
Shana,Nonaka Shana,2003-03-13,Lapillus,Japan,Kochi,F,
Kyungri,Park Kyungri,1990-07-05,9Muses,South Korea,Busan,F,gyeongree
E.sol,Jeon Jaehyuk,1992-09-17,14U,South Korea,,M,
Mujin,Ko Sungho,2000-11-20,Kingdom,South Korea,,M,
Seolhyun,Kim Seolhyun,1995-01-03,AoA,South Korea,Bucheon,F,sh_9513
Rano,Byun Yongseop,1998-12-10,E'LAST,South Korea,,M,
Yunmin,Yun Min,2001-02-26,Newkidd,South Korea,,M,
Kevin,Baek Seungbin,2001-04-08,T1419,South Korea,,M,
Kevin,Christopher Woo,1991-11-25,U-KISS,USA,Los Angeles,M,
Kevin,Kevin Jiyeop Kim,1988-02-23,ZE:A,South Korea,Sydney,M,
Kevin,Moon Hyungseo,1998-02-23,The Boyz,Canada,,M,
Kevin,Park Jinwoo,2000-01-12,OMEGA X,South Korea,,M,
Xiweol,Kang Minseok,1996-10-21,VARSITY,South Korea,,M,
Jinny,Park Jinhee,1998-01-19,SECRET NUMBER,South Korea,California,F,
Narae,Park Narae,1988-02-23,SPICA,South Korea,Incheon,F,
Juju,Park Juyoung,1996-01-03,Gate9,South Korea,Changwon,F,baby.juju_0
Olivia Hye,Son Hyeju,2001-11-13,LOONA,South Korea,,F,
Junmin,Ryu Junmin,2003-04-05,ATBO,South Korea,,M,
Nako,Yabuki Nako,2001-06-18,IZ*ONE,Japan,Tokyo,F,
Sohye,Kim Sohye,1999-07-19,,South Korea,Seoul,F,
Nayoung,Im Nayoung,1995-12-18,Pristin,South Korea,Chungcheongham,F,
Nayoung,Kim Nayoung,2002-11-30,LIGHTSUM,South Korea,,F,
Youi,Kim Jihyeo,2000-04-24,Dreamnote,South Korea,,F,
Laun,Kim Minseok,1999-08-12,,South Korea,Seongsan,M,
Jun,Lee Junyoung,1997-01-22,U-KISS,South Korea,,M,
Jun,Park Junhee,1994-06-02,A.C.E,South Korea,Jeolla,M,
Jun,Weng Junhui,1996-06-10,Seventeen,China,Shenzen,M,
Onda,Jo Selim,2000-05-18,Everglow,South Korea,,F,
Jinsung,Jung Jinsung,2002-03-30,1the9,South Korea,Seoul,M,
Jerome,Oh Sungmin,2001-08-25,TOO,South Korea,,M,
Kangmin,Kim Kangmin,2001-11-13,TRCNG,South Korea,,M,
Kangmin,Noh Kangmin,1999-09-05,Romeo,South Korea,,M,
Kangmin,Yoo Kangmin,2003-01-25,Verivery,South Korea,,M,
Soso,Wang Chingyi,2001-03-14,GWSN,Taiwan,,F,
Sihyun,Park Sihyun,1986-11-29,SPICA,South Korea,,F,
Lisa,Pranpriya Manoban,1997-03-27,BLACKPINK,Thailand,Bangkok,F,
Youngbin,Jeong Youngbin,1998-10-05,Luminous,South Korea,Seongju,M,
Youngbin,Kim Youngbin,1993-11-23,SF9,South Korea,,M,
Youngbin,Lee Youngbin,2001-11-23,BLANK2Y,South Korea,,M,
Haewon,Oh Haewon,2003-02-25,NMIXX,South Korea,,F,
Jahan,Im Jihun,2002-08-01,Kingdom,South Korea,,M,
Dasom,Kim Dasom,1993-05-06,SISTAR,South Korea,,F,som0506
Dasom,Lee Dasom,1993-11-13,2EYES,South Korea,Cheongju,F,
Ravi,Kim Wonsik,1993-02-15,VIXX,South Korea,Seoul,M,
Eunice,Heo Sooyeon,1991-09-02,DIA,South Korea,Busan,F,
Woochul,Shin Woochul,2002-10-02,Newkidd,South Korea,,M,
Kyungho,Jang Kyungho,2001-05-07,TOO,South Korea,,M,
Jun Jin,Park Choongjae,1980-08-19,Shinhwa,South Korea,Seoul,M,
JinSoul,Jung Jinsol,1997-06-13,LOONA,South Korea,,F,
B-Bomb,Lee Minhyuk,1990-12-14,Block B,South Korea,Seoul,M,
Joonie,Park Junhee,2002-05-24,ICHILLIN',South Korea,,F,
Kain,Bang Junho,1997-03-25,ARGON,South Korea,,M,
Y,Choi Sungyoon,1995-07-31,Golden Child,South Korea,,M,
Yunjin,Huh Yunjin,2001-10-08,LE SSERAFIM,South Korea,,F,
JR,Kim Jonghyun,1995-06-08,NU'EST,South Korea,Gangwon,M,
Ella,Kim Kyungjoo,1998-03-26,Pixy,South Korea,,F,
Sungmin,Lee Sungmin,1986-01-01,Super Junior,South Korea,Gyeonggi,M,
Sungmin,Oh Sungmin,1990-12-31,Bigflo,South Korea,,M,
Manny,Syo Dongchun,2001-11-17,VARSITY,China,,M,
Soodam,Lee Soodam,1999-11-09,SECRET NUMBER,South Korea,,F,
Jeongkyun,Jeong Jeongkyun,1987-11-27,,South Korea,,M,
E.Ji,Choi Jiwon,2000-11-08,ICHILLIN',South Korea,,F,
Rachel,Sung Nayeon,2000-08-28,APRIL,South Korea,,F,
L,Kim Myungsoo,1992-03-13,Infinite,South Korea,Seoul,M,
Soobin,Choi Soobin,2000-12-05,TXT,South Korea,,M,
Soobin,Park Soobin,1996-09-14,Cosmic Girls,South Korea,Seoul,F,
Seulgi,Jeong Seulgi,1990-05-12,S#aFLA,South Korea,,F,
Seulgi,Kang Seulgi,1994-02-10,Red Velvet,South Korea,Seoul,F,
Taeil,Lee Taeil,1990-09-24,Block B,South Korea,Seoul,M,
Taeil,Moon Taeil,1994-06-14,NCT,South Korea,Seoul,M,
Ari,Hwang Nayoon,1999-03-30,RedSquare,South Korea,Seoul,F,
Ari,Kim Sunyoung,1994-10-23,Tahiti,South Korea,Daegu,F,
Nayun,Kim Nayun,1998-07-31,MOMOLAND,South Korea,Seoul,F,
Bora,Kim Bora,1999-03-03,Cherry Bullet,South Korea,,F,
Bora,Yoon Bora,1989-12-30,SISTAR,South Korea,,F,borabora_sugar
Serim,Park Serim,1999-03-03,CRAVITY,South Korea,,M,
Theo,Choi Taeyang,2001-07-01,P1Harmony,South Korea,,M,
Sungyeon,Bae Sungyeon,1999-05-25,Pristin,USA,California,F,
Yubeen,Jin Yubeen,2006-09-05,TRACER,South Korea,,F,
Eric,Moon Junghyuk,1979-02-16,Shinhwa,South Korea,Seoul,M,
Eric,Son Youngjae,2000-12-22,The Boyz,South Korea,,M,
Daehyun,Jung Daehyun,1993-06-28,B.A.P,South Korea,Busan,M,
Jaemin,Na Jaemin,2000-08-13,NCT,South Korea,,M,
Takuya,Terada Takuya,1992-03-18,CROSS GENE,Japan,Moriya,M,
Lia,Choi Jisu,2000-07-21,ITZY,South Korea,Incheon,F,
Yewon,Park Yewon,2004-01-11,HOT ISSUE,South Korea,,F,
Hongjoong,Kim Hongjoong,1998-11-07,ATEEZ,South Korea,,M,
Gracie,Kim Gaeun,1996-10-28,H.U.B,South Korea,,F,i.m_gracie
Heeyu,Choi Heejae,1995-06-30,MIXX,South Korea,,F,
Solar,Kim Yongsun,1991-02-21,Mamamoo,South Korea,Seoul,F,
Monika,Kang Yeh,1991-05-21,BADKIZ,South Korea,Seoul,F,maygirl_nika
Sian,Choi Changmin,2001-02-01,T1419,South Korea,,M,
Jihun,Kim Jihun,2000-01-09,TRCNG,South Korea,,M,
JJ,Jun Jihyeok,1998-12-11,DUSTIN,South Korea,,M,
Juntae,Kim Juntae,1995-09-04,MY.st,South Korea,,M,
Renjun,Hwang Renjun,2000-03-23,NCT,China,Jilin,M,
Dana,Jang Dana,2003-12-25,HOT ISSUE,South Korea,,F,
Yeojin,Im Yeojin,2002-11-11,LOONA,South Korea,Guro,F,
Boeun,Park Boeun,2008-02-11,CLASS:y,South Korea,,F,
E'Dawn,Kim Hyojong,1994-06-01,,South Korea,,M,
Chris,Han Chris,2002-11-19,BLITZERS,South Korea,,M,
Kai,Kim Jongin,1994-01-14,EXO,South Korea,Suncheon,M,
Nara,Kwon Nara,1991-03-13,Hello Venus,South Korea,Seongnam,F,hv_nara
Dongkyu,Moon Dongkyu,1992-11-16,Spectrum,South Korea,,M,
Changuk,Joo Changuk,2001-07-25,DRIPPIN,South Korea,,M,
Seonghwa,Park Seonghwa,1998-04-03,ATEEZ,South Korea,Jinju,M,
Garam,Kim Garam,2005-11-16,,South Korea,,F,
Inpyo,Lee Inpyo,1995-08-14,IN2IT,South Korea,,M,
Wooju,Cho Wooju,2004-01-21,BLITZERS,South Korea,,M,
Sungchan,Jung Sungchan,2001-09-13,NCT,South Korea,,M,
Jaechan,Park Jaechan,2001-12-06,Dongkiz,South Korea,,M,
Riina,Lee Seunghyeon,2001-02-21,H1-KEY,South Korea,,F,
Hyeyeon,Cho Hyeyeon,2000-08-05,,South Korea,,F,
Hyeyeon,Kang Hyeyeon,1990-12-08,BESTie,South Korea,,F,hyeyeon_2
Inseong,Jeong Inseong,1994-07-01,KNK,South Korea,,M,
Inseong,Kim Inseong,1993-07-12,SF9,South Korea,,M,
Muzin,Kim Hyunwoo,2001-03-29,BAE173,South Korea,,M,
Yechan,Kim Yechan,1995-11-26,Pink Fantasy,South Korea,,F,
Yechan,Shin Yechan,2001-05-14,OMEGA X,South Korea,Seoul,M,
Shiho,Kwon Subin,2001-08-22,BOTOPASS,South Korea,,F,
Hwiseo,Jo Hwihyeon,2002-07-31,H1-KEY,South Korea,,F,
Jihoo,Lim Soojung,1998-08-05,IZ,South Korea,,M,
Nayu,Kim Yewon,2002-07-23,ILY:1,South Korea,,F,
JIN,Park Myungeun,1996-06-12,Lovelyz,South Korea,Busan,F,
Dohwan,Gil Dohwan,2003-08-26,Ciipher,South Korea,,M,
Eunchan,Choi Byeongseop,2001-02-27,TEMPEST,South Korea,,M,
Huijun,Noh Huijun,2003-10-07,MCND,South Korea,,M,
Yeonjun,Choi Yeonjun,1999-09-13,TXT,South Korea,,M,
Seoyoung,Lee Seoyoung,1994-06-27,Hello Venus,South Korea,,F,hv_seo0
Kyungyoon,Lee Kyungyoon,2000-02-21,Dongkiz,South Korea,,M,
Ken,Lee Jaehwan,1992-04-06,VIXX,South Korea,Seoul,M,
Hyungseop,Ahn Hyungseop,1999-08-09,TEMPEST,South Korea,,M,
BEL,Choi Sunghoon,2000-05-21,DUSTIN,South Korea,,M,
Hyogyeong,Jang Hyogyeong,1999-11-15,ARIAZ,South Korea,,F,
Woncheol,Jung Woncheol,1996-01-12,MY.st,South Korea,,M,
Won Bin,Won Bin,2004-07-01,ATBO,South Korea,Goyang,M,
Steve,Lim Dohyun,2002-03-09,YOUNITE,South Korea,Los Angeles,M,
Sunghyun,Kim Sunghyun,1996-03-16,IN2IT,South Korea,,M,
Yooyoung,Lee Yooyoung,1995-01-23,Hello Venus,South Korea,Suwon,F,hv_u0
Seungyeop,Choi Seungyeop,1997-05-08,E'LAST,South Korea,,M,
Lay,Zhang Yixing,1991-10-07,EXO,China,Changsa,M,
J.seph,Kim Taehyung,1992-06-21,KARD,South Korea,,M,
Hyunkyung,Kim Hyunjong,1998-09-05,Romeo,South Korea,,M,
2Soul,Kim Younghoon,1997-09-10,7 O'clock,South Korea,,M,
Jeonggyu,Lim Jeonggyu,1997-11-05,7 O'clock,South Korea,,M,
Han Leeseul,Han Jiyoon,2000-02-12,Rockit Girl,South Korea,,F,
Hyunjoo,Lee Hyunjoo,1998-02-05,UNI.T,South Korea,Seoul,F,
Jae,Park Jaehyung,1992-09-15,DAY6,South Korea,Buenos Aires,M,
Hansol,Kim Hansol,1993-06-15,,South Korea,Busan,M,
Miku,Katae Miku,2002-10-09,Pink Fantasy,Japan,,F,
Lu,Im Hayoung,1997-12-03,NATURE,South Korea,,F,
Lee Suhyun,Lee Suhyun,1996-11-05,I.B.I,South Korea,Ansan,F,
Gaeul,Kim Gaeul,2002-09-24,IVE,South Korea,Incheon,F,
Gaeul,Park Gaeul,1999-05-08,Favorite,South Korea,Seoul,F,
Lou,Kim Hosung,1996-12-21,VAV,South Korea,,M,
Eunchae,Hong Eunchae,2006-11-10,LE SSERAFIM,South Korea,,F,
Eunchae,Kwon Chaewon,1999-05-26,DIA,South Korea,,F,
Eunchae,Son Eunchae,1999-10-06,bugAboo,South Korea,Pohang,F,
Taeha,Kim Taeha,1998-06-03,,South Korea,Jeonju,F,
Taeha,Yoo Taeha,1995-10-05,,South Korea,,F,
Jisu,Choi Jisu,2000-01-19,TOO,South Korea,,M,
Choi In,Choi In,1996-02-11,E'LAST,South Korea,,M,
Baekah,Kim Sua,1999-10-24,XUM,South Korea,,F,sunghyuk_seo
Honggi,Lee Honggi,1990-03-02,FTISLAND,South Korea,Gwangju,M,
Nahyun,Kang Nahyun,2002-01-25,HOT ISSUE,South Korea,,F,
Nahyun,Kim Nahyun,1995-12-09,Sonamoo,South Korea,Seoul,F,
Youngji,Hur Youngji,1994-08-30,,South Korea,Goyang,F,
Kim Sanggyun,Kim Sanggyun,1995-05-23,JBJ95,South Korea,Gwangju,M,
Giseok,Jun Giseok,1997-05-02,IM,South Korea,,M,
Hongil,Yoon Hongil,1999-01-11,Astin,South Korea,,M,
Kyulkyung,Zhou Jieqiong,1998-12-16,Pristin,China,Taizhou,F,
Park Kyung,Park Kyung,1992-07-08,Block B,South Korea,Seoul,M,
Leia,Larissa Kartes,2001-05-14,Blackswan,Brazil,Curitiba,F,
Yoseob,Yang Yoseob,1990-01-05,Highlight,South Korea,Seoul,M,
Arie,Jeon Minjae,2000-04-07,MIXX,South Korea,,F,
Chaejin,Chae Jinseok,1995-12-26,MYNAME,South Korea,Seoul,M,
Luna,Park Sunyoung,1993-08-12,f(x),South Korea,Seoul,F,hermosavidaluna
BX,Lee Byounggon,1998-03-05,CIX,South Korea,Incheon,M,
Dongheon,Lee Dongheon,1995-08-04,Verivery,South Korea,,M,
Ryujin,Shin Ryujin,2001-04-17,ITZY,South Korea,Seoul,F,
Taeseon,Yang Taeseon,2000-09-17,TRCNG,South Korea,,M,
Siyoon,Kim Siyoon,2005-02-16,Billlie,South Korea,,F,
Xuanyi,Wu Xuanyi,1995-01-26,Cosmic Girls,China,Hainan,F,
Chaeyeon,Jung Chaeyeon,1997-12-01,DIA,South Korea,Suncheon,F,
Chaeyeon,Kim Chaeyeon,2004-12-04,tripleS,South Korea,,F,
Chaeyeon,Lee Chaeyeon,2000-01-11,IZ*ONE,South Korea,Yongin,F,
Hongseob,Shim Hongseob,1998-01-08,24K,South Korea,,M,
Kyungmun,Lim Kyungmun,2003-06-29,YOUNITE,South Korea,,M,
Ryeowook,Kim Ryeowook,1987-06-21,Super Junior,South Korea,Incheon,M,
Daisy,Yoo Jeongahn,1999-01-22,,South Korea,Seoul,F,
Hojung,Go Hojung,1994-10-20,HOTSHOT,South Korea,,M,
Hyunjae,Lee Jaehyun,1997-09-13,The Boyz,South Korea,,M,
Hyunseo,Go Hyunseo,1999-06-17,,South Korea,,F,
Gohn,Kim Dongsung,1992-08-01,,South Korea,Seoul,M,
Eunjin,Ahn Eunjin,1997-08-31,,South Korea,Mokpo,F,
Eunjin,Ma Eunjin,1997-05-23,Playback,South Korea,Wonju,F,sunghyuk_seo
Eunjin,Moon Eunjin,1998-11-05,Highteen,South Korea,,F,
I.M,Lim Changkyun,1996-01-26,MONSTA X,South Korea,Gwangju,M,
May,Hirokawa Mao,2004-11-16,Cherry Bullet,Japan,,F,
May,Jeong Chaeyoung,2001-07-27,,South Korea,,F,
Hwanhee,Lee Hwanhee,1998-05-06,UP10TION,South Korea,Daejeon,M,
Elva,Lee Yonghwa,2003-05-05,ILY:1,South Korea,,F,
Kisu,Choi Kisu,1990-10-02,24K,South Korea,Seoul,M,
Jinu,Kim Jinwoo,1991-09-26,WINNER,South Korea,Imja,M,
Ju-ne,Koo Junhoe,1997-03-31,iKON,South Korea,Seoul,M,
Win,Bang Junhyuk,2004-12-19,MCND,South Korea,,M,
Rio,Son Gwanghyuk,1999-07-16,14U,South Korea,,M,
I,Cha Yoonji,1996-12-02,,South Korea,Busan,F,
Eden,Jae Won,1998-03-27,NINE.i,South Korea,,M,
Kriesha Chu,Kriesha Ziskind Teo Tiu,1998-12-20,,Philippines,Cebu,F,
Mia,Han Eunji,2000-01-13,Everglow,South Korea,,F,
Mia,Son Hyunmi,1997-12-31,MIXX,South Korea,,F,
ZN,Bae Jinye,1994-06-09,LABOUM,South Korea,Bucheon,F,
Siwoo,Park Siwoo,2001-02-05,BLANK2Y,South Korea,,M,
Siwoo,Yoo Siwoo,2001-05-11,TRCNG,South Korea,,M,
Yehyeon,Kim Yehyeon,1999-09-12,GIDONGDAE,South Korea,,M,
Yano,Seo Sangwon,1995-09-27,Topp Dogg,South Korea,Seoul,M,
Max Changmin,Shim Changmin,1988-02-18,TVXQ,South Korea,Seoul,M,
Suzy,Bae Suji,1994-10-10,miss A,South Korea,Gwangju,F,skuukzky
Suzy,Kim Suji,2001-06-03,MAJORS,South Korea,,F,
Hyeongjun,Song Hyeongjun,2002-11-30,CRAVITY,South Korea,,M,
Harry-June,Han Harry-June,2004-01-01,DKB,South Korea,,M,
Donggeon,Song Donggeon,1999-07-15,TOO,South Korea,,M,
Hayoung,Choi Hayoung,2000-08-22,TRCNG,South Korea,,M,
Hayoung,Lee Hayoung,1993-08-03,Playback,South Korea,,F,
Hayoung,Oh Hayoung,1996-07-19,Apink,South Korea,Seoul,F,o_h_y_y
Hayoung,Song Hayoung,1997-09-29,fromis_9,South Korea,Gwangju,F,
Jiyou,Im Changsook,1989-06-15,Two X,South Korea,,F,
Jonghwan,Jo Jonghwan,1992-11-23,100%,South Korea,Seoul,M,
Fei,Wang FeiFei,1987-04-27,miss A,China,Haikou,F,ff0427
Junyoung,Lee Junyoung,2000-09-23,IZ,South Korea,,M,
Eunhyuk,Lee Hyukjae,1986-04-04,Super Junior,South Korea,Ilsan,M,
Bessie,Kim Susanna,2004-07-15,Lapillus,South Korea,Changwon,F,
Ron,Cheon Byeonghwa,1991-01-22,Bigflo,South Korea,,M,
Gabin,Kim Gabin,1989-09-18,Blady,South Korea,Busan,F,_kimgabin
Jaeseok,Park Jaeseok,1995-11-20,,South Korea,,M,
Sehun,Oh Sehun,1994-04-12,EXO,South Korea,Seoul,M,
Seoho,Lee Seoho,1996-06-07,Oneus,South Korea,,M,
